Issue Type,Issue key,Issue id,Summary,Status,Sprint,Sprint,Custom field (Deployment Notes),Fix versions,Fix versions,Assignee,Assignee Id,Created
Story Bug,SRNGR-1883,1398131,External Driver ID field  format is not matching with the requirement. ,Done,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Aysegul Yigit,610087ad0b454a0068afede9,15/Jul/25 9:52 PM
Story,SRNGR-1868,1397267,[LMD] Update External Driver ID Field To Editable,Done,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,14/Jul/25 1:47 PM
Story,SRNGR-1634,1391886,[TPA Letters] CSAA Specialized Services Email Template Trigger,In Progress,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Sivakumar Kandasamy,61899c61e1b3e000693c87bd,03/Jul/25 10:30 AM
Story,SRNGR-1626,1391743,[TPA Letters] AWS -> SmartComm Payload Update To Email ID for Specialized Services,Done,Mobi Rangers 2025.PI2.5,,"Deploy the following AWS pipelines:
mobilitas-ccm-emailProcessor-pipeline-emailProcessor
mobilitas-ccm-validation-v2-pipeline-validation-v2

Post-Deploy Validation: Ensure that the lamba 
mobilitas-ccm-{env}-emailProcessor contains the environment variables:
 MOBILITAS_CC_TPA_SUPPORT_EMAIL
pre-prod: svcnpcssclaimsdocs@csaaspecializedservices.com
prod: claimsdocs@CSAASpecializedServices.com

MOBILITAS_CC_SUPPORT_EMAIL
pre-prod: claimsdocs-nonprod@mobilitasinsurance.com 
prod: claimsdocs@mobilitasinsurance.com",Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,03/Jul/25 8:40 AM
Story,SRNGR-1608,1387300,[LMD] DD Injury Exposure Assignment Routing,In Progress,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Jitendra Kushwaha,603910a72de69b006a321cde,24/Jun/25 1:53 PM
Story,SRNGR-1606,1387289,[LMD] Add New Sub Group & Queues For DD,In Progress,Mobi Rangers 2025.PI2.5,,"Go to Administration -> Utilities -> Import Data and import the following file:

modules\configuration\etc\surepath\cc\configuration\data\default\SRNGR-1606-DoorDash_Subro_Salvage_TotalLoss_Groups_And_Queues.xml",Mobilitas 2025.08.08,,Clint Brown,5fd3ef544d2179006ebc6264,24/Jun/25 1:46 PM
Story,SRNGR-1605,1387287,[LMD] Add new DD Non-Injury & DD Injury Groups,Done,Mobi Rangers 2025.PI2.4,Mobi Rangers 2025.PI2.5,"Go to Administration -> Utilities -> Import Data and import the following file:

modules\configuration\etc\surepath\cc\configuration\data\default\SRNGR-1605-DoorDash_Injury_Groups.xml",Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,24/Jun/25 1:46 PM
Story,SRNGR-1604,1387285,[LMD] DD Non-Injury Exposure Assignment Routing,In Progress,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Jordahn Belnavis,712020:ae1306a3-d30e-4a6a-920e-45a80d9ddde4,24/Jun/25 1:45 PM
Story,SRNGR-1542,1382900,[LMD] - DD Claim Assignment Routing,In Progress,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Aysegul Yigit,610087ad0b454a0068afede9,16/Jun/25 9:58 AM
Story,SRNGR-1433,1376604,[LMD] - PAT Table Update For DD,Done,Mobi Rangers 2025.PI2.4,Mobi Rangers 2025.PI2.5,Please import admin data files from following path modules\configuration\etc\surepath\cc\configuration\data\default\SRNGR-1433-PartnerAdminTable-DoorDash_Ext.xml,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,05/Jun/25 10:33 AM
Story,SRNGR-1432,1376601,"[LMD] - DD Special Claim Permission, Role &  Permissions",Done,Mobi Rangers 2025.PI2.4,Mobi Rangers 2025.PI2.5,Please import admin data files from following path modules\configuration\etc\surepath\cc\configuration\data\default\SRNGR-1432-DoorDashRolePermissions_Ext.xml,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,05/Jun/25 10:32 AM
Story,SRNGR-1430,1376595,[LMD] - Add New Fields To mCAS UI for DD,Done,Mobi Rangers 2025.PI2.4,,,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,05/Jun/25 10:31 AM
Story,SRNGR-1429,1376592,[LMD] - GW - Update Claim API Schemas/Mappers/Updaters For DD,Done,Mobi Rangers 2025.PI2.5,,,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,05/Jun/25 10:31 AM
Production Defect,SRNGR-1211,1340883,Users are not able to issue payments and re-open the exposures,Done,Mobi Rangers 2025.PI2.4,,,Mobilitas 2025.08.08,,Francis Eppinger,5bd8e0734b76d050e297026e,21/Apr/25 10:17 AM
